user_id,age,gender,occupation,zip_code,age_group,username
1,24,M,technician,85711,18-24,Elsie Steely
2,53,F,other,94043,50-64,Joseph Stiles
3,23,M,writer,32067,18-24,Robert Mansur
4,24,M,technician,43537,18-24,Penny Hawkins
5,33,F,other,15213,25-34,Ted Bristle
6,42,M,executive,98101,35-49,Melissa Allen
7,57,M,administrator,91344,50-64,Frederick Eligio
8,36,M,administrator,05201,35-49,Brian Dunlap
9,29,M,student,01002,25-34,Charles Sessions
10,53,M,lawyer,90703,50-64,Vicente Belair
11,39,F,other,30329,35-49,Elaine Curtis
12,28,F,other,06405,25-34,Tonya Crawford
13,47,M,educator,29206,35-49,Philip Brewster
14,45,M,scientist,55106,35-49,Joseph Ferry
15,49,F,educator,97301,35-49,Reynaldo Kennedy
16,21,M,entertainment,10309,18-24,Andrea Guzman
17,30,M,programmer,06355,25-34,Anthony Richardson
18,35,F,other,37212,35-49,Robert Feagin
19,40,M,librarian,02138,35-49,Catherine Hayes
20,42,F,homemaker,95660,35-49,Sylvia Griffin
21,26,M,writer,30068,25-34,Raymond Wilcox
22,25,M,writer,40206,25-34,Patricia Vigne
23,30,F,artist,48197,25-34,Harry Rivera
24,21,F,artist,94533,18-24,Stacia Colley
25,39,M,engineer,55107,35-49,Melvin Richters
26,49,M,engineer,21044,35-49,Richard Stringer
27,40,F,librarian,30030,35-49,Hazel Karol
28,32,M,writer,55369,25-34,Maria Henderson
29,41,M,programmer,94043,35-49,Rudy Howard
30,7,M,student,55436,Under 18,Janice Maurey
31,24,M,artist,10003,18-24,Sara Sullivan
32,28,F,student,78741,25-34,June Reilly
33,23,M,student,27510,18-24,Lois Flaten
34,38,F,administrator,42141,35-49,Jane Sanchez
35,20,F,homemaker,42459,18-24,Travis Stribling
36,19,F,student,93117,18-24,Victor Twombly
37,23,M,student,55105,18-24,Shane Vanes
38,28,F,other,54467,25-34,Christopher Elliott
39,41,M,entertainment,01040,35-49,Laura Toon
40,38,M,scientist,27514,35-49,Yun Woodward
41,33,M,engineer,80525,25-34,Erika Lee
42,30,M,administrator,17870,25-34,Rachel Judon
43,29,F,librarian,20854,25-34,Frank Mcdonald
44,26,M,technician,46260,25-34,Katherine Baerga
45,29,M,programmer,50233,25-34,Sonya Eckert
46,27,F,marketing,46538,25-34,Charles Trappey
47,53,M,marketing,07102,50-64,Gary Fess
48,45,M,administrator,12550,35-49,Alpha Kitchen
49,23,F,student,76111,18-24,Chris Rowland
50,21,M,writer,52245,18-24,Elaine Rhee
51,28,M,educator,16509,25-34,Helen Patton
52,18,F,student,55105,18-24,Carrie Harris
53,26,M,programmer,55414,25-34,Madeline Strecker
54,22,M,executive,66315,18-24,Harold Siwiec
55,37,M,programmer,01331,35-49,Mark Taylor
56,25,M,librarian,46260,25-34,John Horrocks
57,16,M,none,84010,Under 18,Leticia Daniels
58,27,M,programmer,52246,25-34,Angelo Jones
59,49,M,educator,08403,35-49,Clarence White
60,50,M,healthcare,06472,50-64,Donna Mendoza
61,36,M,engineer,30040,35-49,Diana Higgins
62,27,F,administrator,97214,25-34,Paul Jones
63,31,M,marketing,75240,25-34,Marie Carrasco
64,32,M,educator,43202,25-34,Marshall Cardwell
65,51,F,educator,48118,50-64,Bruce Pritchard
66,23,M,student,80521,18-24,Yolanda Payton
67,17,M,student,60402,Under 18,Elnora Longoria
